 1 | 1 | 10
 6 | 0 | 10
 6 | 1 | 10
22 | 0 | 10
22 | 1 | 10
 9 | 0 | 10
 9 | 1 | 10
 1 | 0 | 10
 1 | 1 | 7
 6 | 0 | 7
 6 | 1 | 2
22 | 0 | 2
22 | 1 | 7
 9 | 0 | 7
 9 | 1 | 2
 1 | 0 | 2
 2 | 1 | 10
17 | 0 | 10
17 | 1 | 10
 4 | 0 | 10
 4 | 1 | 9
21 | 0 | 9
21 | 1 | 10
 5 | 0 | 10
 5 | 1 | 10
23 | 0 | 10
23 | 1 | 10
14 | 0 | 10
14 | 1 | 8
 8 | 0 | 8
 8 | 1 | 10
 7 | 0 | 10
 7 | 1 | 10
11 | 0 | 10
11 | 1 | 10
10 | 0 | 10
10 | 1 | 10
24 | 0 | 10
24 | 1 | 10
15 | 0 | 10
15 | 1 | 10
13 | 0 | 10
13 | 1 | 10
27 | 0 | 10
27 | 1 | 10
 2 | 0 | 10
 2 | 1 | 2
17 | 0 | 2
17 | 1 | 7
 4 | 0 | 7
 7 | 1 | 8
11 | 0 | 8
26 | 1 | 10
19 | 0 | 10
19 | 1 | 10
20 | 0 | 10
20 | 1 | 9
18 | 0 | 9
18 | 1 | 10
12 | 0 | 10
12 | 1 | 10
26 | 0 | 10
26 | 1 | 2
19 | 0 | 2
19 | 1 | 6
20 | 0 | 6
25 | 1 | 10
 3 | 0 | 10
 3 | 1 | 9
16 | 0 | 9
16 | 1 | 10
25 | 0 | 10
25 | 1 | 7
 3 | 0 | 7
 5 | 1 | 1
23 | 0 | 1
23 | 1 | 1
14 | 0 | 1
21 | 1 | 8
